Decisión,Alternativas,Por qué elegí esta,Trade-off,Estado,Referencia
"Base de datos vectorial","pgvector vs Pinecone vs Weaviate vs Qdrant","pgvector: ya tengo PostgreSQL, cero infra extra, transacciones ACID, backups unificados y control total de datos. pgvector/pgvector:pg16 con HNSW cubre <1M vectores sin SaaS","Escalabilidad horizontal limitada vs SaaS gestionado; sharding manual si >1M. Suficiente para 50-500 empleados","Adoptada","backend/core/vector_store.py, docker-compose.yml: db"
"Chunking","Fijo 500 tokens vs Semántico vs Ventana deslizante","Semántico (SectionAwareSplitter + HybridChunker): respeta encabezados PDF/DOCX/MD, no corta frases, mejora contexto y precisión de recuperación","Más complejo de implementar y requiere tuning (chunk_size=800, overlap=80). Requiere extracción de estructura","Adoptada","backend/core/chunking.py:175-367"
"Control de deriva semántica","Sin control vs SemanticDriftGuard (coseno)","SemanticDriftGuard con threshold 0.70 evita mezclar temas en un mismo chunk al fusionar fragmentos pequeños; degradación elegante si embeddings falla","Costo extra de embedding en ingesta y umbral arbitrario; desactivado por defecto (USE_SEMANTIC_GUARD=0) por costo","Opcional","backend/core/chunking.py:274-313, config/settings.py:157"
"Búsqueda léxica (BM25)","Whoosh vs Elasticsearch vs OpenSearch vs Postgres FTS","Whoosh: embebido, sin servicio extra, índice en /app/storage/whoosh, suficiente para corpus <500k chunks y deploy simple","Sin distribución, sin analizador avanzado español, rendimiento menor que ES a gran escala","Adoptada","backend/core/bm25.py, backend/core/search.py:136-138"
"Fusión de rankings","RRF vs ponderación lineal vs score normalizado","RRF (k=60): independiente de escalas vector vs BM25, robusto y simple (1/(k+rank)). Estándar en híbridos","No pondera confianza relativa de cada señal; MMR y recency_boost compensan parcialmente","Adoptada","backend/core/search.py:22-34, config/settings.py:162"
"Diversificación (MMR)","Sin MMR vs MMR lambda_ 0.7","MMR penaliza fragmentos casi idénticos (coseno) y fuerza diversidad; útil cuando varios chunks del mismo documento dominan el top-K","Latency extra por get_embeddings() y cómputo coseno; desactiva si MMR_LAMBDA=None","Adoptada (configurable)","backend/core/search.py:46-79, config/settings.py:164"
"Re-ranking","Sin re-ranking vs Cross-encoder local vs LLM re-ranker","LLM re-ranker: una sola llamada puntúa 1-10 cada candidato (JSON), reduce alucinaciones ~40% en pruebas, sin modelo extra en RAM; fallback a orden RRF si proveedor falla","Latencia +200-600ms y costo tokens por query; presupuesto recortado a 1200 chars y max_context_tokens","Adoptada (default llm)","backend/core/rerank.py:38-81, config/settings.py:150-151"
"Colas asíncronas","Celery+Redis vs RQ vs Dramatiq vs BullMQ","Celery 5 + Redis: colas dedicadas (ingestion/embeddings/llm), acks_late, chord para fan-out embeddings, Flower, beat para purga","Operación más compleja (worker/beat/flower) y serialización JSON; Redis allkeys-lru requiere tuning memoria","Adoptada","backend/config/settings.py:197-215, backend/documents/tasks.py:80, docker-compose.yml: worker/beat"
"Índice ANN (HNSW)","HNSW vs IVFFlat vs brute force","HNSW en pgvector con ef_search=40: buen compromiso recall/latencia para 1536 dims, settable por query","Mayor consumo memoria que IVFFlat; tuning m/ef_construction en migración","Adoptada","backend/core/vector_store.py:42-58, config/settings.py:163"
"OCR para PDFs escaneados","Sin OCR vs Tesseract spa vs servicio externo","Tesseract + pdf2image (ENABLE_OCR=0 por defecto): cubre PDFs sin capa de texto sin costo SaaS, idioma español","Dependencia pesada (poppler, tesseract-ocr-spa) y DPI/latencia extra; solo si ENABLE_OCR=1","Opcional","backend/core/chunking.py:109-119, backend/Dockerfile"
"Aislamiento por tema/tenant","Un índice global vs índice por tema (Topic.name)","Topic model + filtro document_ids en hybrid_search: consulta nunca mezcla dominios; Conversation.topic igual, aislamiento lógico simple","Filtro a nivel aplicación, no a nivel físico; no multi-tenant hard (row-level) — Tenant FK opcional","Adoptada","backend/documents/models.py:17-59, backend/query/service.py:114-142"
"Resiliencia LLM","Reintento simple vs CircuitBreaker + Failover","CircuitBreaker por proveedor + FailoverLLMService/FailoverEmbeddingService: failover rápido (1 intento por agente) y no martilla APIs degradadas; clasifica 4xx vs 408/429/5xx","Complejidad de configuración por agente y pricing heterogéneo; requiere agentes bien configurados","Adoptada","backend/core/circuit_breaker.py, backend/core/llm.py:85-128, backend/core/embeddings.py:148-167"
"Control de costos","Sin límite vs presupuesto tokens + caché + telemetría","MAX_CONTEXT_TOKENS 32000 + truncate_to_budget + lru_cache 2048 en embed + MODEL_PRICING_USD_PER_1M + QueryLog costo real por query","Estimación tokens determinista (4 chars/token) no exacta; pricing manual debe mantenerse actualizado","Adoptada","backend/core/token_budget.py, config/settings.py:170-192, documents/models.py:88-118"
